blind_id,locale,category,intelligibility_1_5,naturalness_1_5,cadence_1_5,pronunciation_1_5,accent_fit_1_5,truncation_or_repetition,reviewer_notes
321c2c4b2e94,de-DE,acronyms-quotations,,,,,,,
b520af4bc5aa,de-DE,headline-byline,,,,,,,
4db68c455a71,de-DE,long-form,,,,,,,
15166d9403ea,de-DE,numbers-dates-currency,,,,,,,
9ec2d0aea26a,en-US,acronyms-quotations,,,,,,,
979a8b3ffa06,en-US,headline-byline,,,,,,,
a975dfd4cbf1,en-US,long-form,,,,,,,
91a7abd40b34,en-US,numbers-dates-currency,,,,,,,
d85afa99874d,es-US,acronyms-quotations,,,,,,,
59c030aec854,es-US,headline-byline,,,,,,,
ab37b9ae0b21,es-US,long-form,,,,,,,
18e70ddd2113,es-US,numbers-dates-currency,,,,,,,
27ee2d771360,fr-FR,acronyms-quotations,,,,,,,
92d7c4abb9eb,fr-FR,headline-byline,,,,,,,
62fe6e25d196,fr-FR,long-form,,,,,,,
4cb114bc38aa,fr-FR,numbers-dates-currency,,,,,,,
75e162e98bea,pt-BR,acronyms-quotations,,,,,,,
05da874f5a0f,pt-BR,headline-byline,,,,,,,
30dcc16c57a5,pt-BR,long-form,,,,,,,
5f33774178ec,pt-BR,numbers-dates-currency,,,,,,,
