audio_id,locale,fixture_id,intelligibility_1_5,naturalness_1_5,cadence_1_5,pronunciation_1_5,accent_fit_1_5,truncation_or_repetition,reviewer_notes
clip-170be8e09f4c1a44,fr-FR,fr-FR-headline-byline,,,,,,,
clip-52c8fec1149a8e00,de-DE,de-DE-acronyms-quotations,,,,,,,
clip-69ce1cd1ed5e1e64,en-US,en-US-numbers-dates-currency,,,,,,,
clip-dd9cabceba4b779b,es-US,es-US-acronyms-quotations,,,,,,,
clip-830e1d5db4841f3d,es-US,es-US-headline-byline,,,,,,,
clip-c215ea85b8913b2d,pt-BR,pt-BR-long-form,,,,,,,
clip-658f8cb608425815,fr-FR,fr-FR-numbers-dates-currency,,,,,,,
clip-af8ea1a1627d46df,de-DE,de-DE-long-form,,,,,,,
clip-e35c323817a1a7f6,en-US,en-US-acronyms-quotations,,,,,,,
clip-1b686f658f22d6f1,de-DE,de-DE-numbers-dates-currency,,,,,,,
clip-1b628857b3c745f7,pt-BR,pt-BR-acronyms-quotations,,,,,,,
clip-eb431f1840c8ca91,fr-FR,fr-FR-long-form,,,,,,,
clip-cbd3b5f9420f1e7a,es-US,es-US-long-form,,,,,,,
clip-6f1c34eada62ff92,de-DE,de-DE-headline-byline,,,,,,,
clip-9ba59e1c14d26b0a,en-US,en-US-headline-byline,,,,,,,
clip-b6f32fbf40569b52,pt-BR,pt-BR-numbers-dates-currency,,,,,,,
clip-dbc9b08b5ab2cbac,es-US,es-US-numbers-dates-currency,,,,,,,
clip-ff684e51b3dcfdbb,pt-BR,pt-BR-headline-byline,,,,,,,
clip-8fb1ce222b620306,fr-FR,fr-FR-acronyms-quotations,,,,,,,
clip-4ade90fc49b023a6,en-US,en-US-long-form,,,,,,,
